title,street,city,state,zipcode,phone,email
Guardian SeIf Storage,5873 Centre Ave.,Pittsburgh,Pennsylvania,15206,4124417368,ca@guardianstorage.com
Rent-A-Space,1100 Boyce Rd,Pittsburgh,Pennsylvania,15241-3909,7249415200,
Store Xpress,100 Hafner Ave,Pittsburgh,Pennsylvania,15090,4127825625,steve@storexpress.com
A Storage Depot,"900 W. Sproul Road, Suite 301",Springfield,Pennsylvania,19064,6106049800,swatchorn@mckeegroup.net
Ingram Mill Self Storage,419 South Ingram Mill Road,Springfield,Missouri,65802-6112,4178627222,
Northridge Mini Storage,1450 Regent Avenue,Springfield,Ohio,45503-5982,9373992702,tah6352@aol.com
Self Storage Center,PO Box 771,Springfield,Tennessee,37172,6153849962,robert@selfstoragecenter.us
Store All,111 Ogden Rd,Springfield,Ohio,45503-5148,9373250402,
The Storing Crew,757 Science Park Road,State College,Pennsylvania,16803,8142357867,stor-all@statecollege.com
Stop 'N Stor LLC,1634 Mearns Road,Warminster,Pennsylvania,18974,2154414400,nshawland@comcast.net
"ABC Self Storage
Gold Member","511 Pine Ave, WA 98290",Snohomish,Washington,98290,13607460902,
"Arm Guard Self Storage
Gold Member","6805 112th St E, WA 98373",Puyallup,Washington,98373,12532487821,
"Auburn Way Self Storage
Gold Member","4425 Auburn Way N, WA 98002",Auburn,Washington,98002,12532718867,
"A-Z Storage
Gold Member","1320 E St, WA 98230",Blaine,Washington,98230,13609191003,
"Bainbridge North Storage
Gold Member","12715 Miller Rd NE, WA 98110",Bainbridge Island,Washington,98110,12067439479,
"Bainbridge Self Storage
Gold Member","9300 Sportsman Club Rd NE #2, WA 98110",Bainbridge Island,Washington,98110,12068767080,
"Barker Self Storage
Gold Member","4303 N Barker Rd, WA 99027",Valley,Washington,99027,18884561122,
"Barker Storage
Gold Member","4303 N Barker Rd, WA 99027",Spokane Valley,Washington,99027,18884561122,
"Bel-Red Storage
Gold Member","1405 130th Ave N.E., WA 98005",Bellevue,Washington,98005,4252233875,
"Cascade Heated Self Storage
Gold Member",1080 SE N Bend Way,North Bend,Washington,98045,14253210902,
"Chateau Storage and Business Park
Gold Member","28610 Maple Valley Black Diamond Rd SE, WA 98038",Maple Valley,Washington,98038,4253108259,
"Clock Tower Self Storage - Lake Stevens
Gold Member","9100 WA-92 #8014, WA 98258",Lake Stevens,Washington,98258,14253668674,
"Clock Tower Self Storage - Marysville
Gold Member","8119 State Ave, WA 98270",Marysville,Washington,98270,15098226251,
"Corners Self Storage
Gold Member","24215 SE 271st Pl, WA 98038",Maple Valley,Washington,98038,14253741302,
"Discovery Park Heated Storage
Gold Member","1470 King St, WA 98229",Bellingham,Washington,98229,13605232592,
Budget Store and Lock Self Storage,1090 MacArthur Road,Whitehall,Pennsylvania,18052,6104353300,budgetstorageus@yahoo.com
"Snapbox Self Storage
Gold Member","701 Reading Ave, PA 19611",Reading,Pennsylvania,19611,14843394158,
Green Hills Self Storage,2460 Morgantown Road,Reading,Pennsylvania,19607-9631,6107754090,ellen@emkutz.com
Keystone Self Storage,1107 Commons Blvd,Reading,Pennsylvania,19605,6109267000,
FlexStore,Po. Box 511,Scranton,Pennsylvania,18501,5706141041,dfink@papaper.com
Northern Storage and Supply,1006 North 4th Avenue,Altoona,Pennsylvania,16601-6125,8149467030,svm420h@aol.com
Antietam Storage Solutions LLC,15133 Bottom Road,Williamsport,Maryland,21795,3012237421,antietamstorage@myactv.net
Valley Storage Co,127 Britner Ave.,Williamsport,Maryland,21795-1556,3017900400,tsnook@nfis.com
Route33 Self Storage,3813 Hecktown road,Easton,Pennsylvania,18040,6102524040,
Basin Road Self Storage,2 Bellecor Drive,New Castle,Delaware,19720,3023227775,basinroad-ss@reybold.com
Red Lion Self Storage,950 Red Lion Rd,New Castle,Delaware,19720,3028387405,redlion-ss@reybold.com
Coventry Self Storage,2020 Route 724,Pottstown,Pennsylvania,19465,6103274123,info@coventryselfstorage.com
Dove Storage - Pottstown,350 Laurel St,Pottstown,Pennsylvania,19464,4844508022,dovestoragepotts@businessmailsystem.com
Frontier Self Storage,205 N. Parish Avenue,Johnstown,Colorado,80534,9705350908,frontierfertilizer@yahoo.com
Iron Forge Storage,6 Westminster Dr,Carlisle,Pennsylvania,17013-4368,7172580334,
Stor-Mor Self Storage,1910 W Trindle Rd,Carlisle,Pennsylvania,17013,7172436700,stormorcarlisle@gmail.com
A Storage Inns,332 Main St,Lafayette,Indiana,47901-1352,7654231945,janbootsma@aol.com
A+ Storage,1058 Sagamore Parkway West,West Lafayette,Indiana,47906,7654977368,cindy@westlafayettestorage.com
A-1 Storage Inc,9750 Zionsville Road,Zionsville,Indiana,46077-8747,3178733144,cartervanlines@aol.com
All American Storage LLC,2503 North Walnut,Bloomington,Indiana,47404,8123394901,north@storeallamerican.com
All Secure Self Storage,5510 W. Sample St.,South Bend,Indiana,46619,5742822440,tveldman@veldmans.net
Anytime Storage,1012 Applegate Lane,Clarksville,Indiana,47129,8127275600,AnytimeStorageClarksville.mail@gmail.com
Arlington Self Storage Inc,3231 N. Arlington Avenue,Indianapolis,Indiana,46218-2540,3175414619,
Attic Self Stor,320 S Bloomington St,Greencastle,Indiana,46135,7656538585,wcooper@ns-ind.com
Batz Gibson and Blanda,1225 Lakeview Dr,Romeoville,Indiana,60446,6302268966,
Bay Storage,6650 Creek Bay Dr,Indianapolis,Indiana,46280-1436,3177840228,bsklare@sbcglobal.net
Country Side Storage,St Rt 43 & St Rt 225,Battle Ground,Indiana,47920,7655674894,kruegers@dcwi.com
East End Mini Warehouse,5327 New Haven Avenue,Fort Wayne,Indiana,46803-3028,2604932332,
Elk Ridge Storage LLC,1510 Research Drive,Jeffersonville,Indiana,47130,8122835000,elkridgestorage@sbcglobal.net
Goshen Storage Center Inc,On Eisenhower Drive between C.R. 27 and Wal-Mart,Goshen,Indiana,46527-0122,5745333722,gsc@goshenstorage.com
Hoosier Self Storage LLC,800 East Main Street,Brownsburg,Indiana,46112-1426,3178522244,rcninc@yahoo.com
Route 88 Self Storage,170 Hillside Drive,Bethel Park,Pennsylvania,15102,4128548888,route88@route88selfstorage.com
Shockey Mini Storage,140 Shockey Ln.,Butler,Pennsylvania,16001-2679,7242870024,dpaul@shockeyministorage.com
Gettysburg Self-Storage,1865 Baltimore Pike,Gettysburg,Pennsylvania,17325,7173372422,weilands@earthlink.net
Ma's Mini Storage,183 Christian St.,Oxford,Connecticut,06478,2038810266,masministorage@yahoo.com
Fanelli's You Store It,1298 Keystone Blvd,Pottsville,Pennsylvania,17901,8006358527,jfanelli@fanelliwarehousing.com
American Self Storage,118 Oak Carriage Road,Lewisburg,West Virginia,24901,3046459010,info@selfstorage-lewisburgwv.com
Heavener Store and Lock,65 Wambold Rd.,Souderton,Pennsylvania,18964,2157030200,kheavener@heavenersupply.com
A Storage Depot,"900 W. Sproul Road, Suite 301",Springfield,Pennsylvania,19064,6106049800,swatchorn@mckeegroup.net
Ingram Mill Self Storage,419 South Ingram Mill Road,Springfield,Missouri,65802-6112,4178627222,
Northridge Mini Storage,1450 Regent Avenue,Springfield,Ohio,45503-5982,9373992702,tah6352@aol.com
Self Storage Center,PO Box 771,Springfield,Tennessee,37172,6153849962,robert@selfstoragecenter.us
Store All,111 Ogden Rd,Springfield,Ohio,45503-5148,9373250402,
Arkansas Self Storage,2325 N. Gregg Avenue,Fayetteville,Arkansas,72703-2812,4795713800,
Cliffdale Mini Storage Inc,820 S Reilly Rd,Fayetteville,North Carolina,28301,9108643331,
Cliffdale Safe Storage,7901 Cliffdale Road,Fayetteville,North Carolina,28314,9104978673,manager@cliffdalesafestorage.com
Fayette Self Storage,112 New Hope Road,Fayetteville,Georgia,30214,7704616371,fayettestorage@bellsouth.net
Fayetteville Self Storage,3100 US Highway 50,Fayetteville,Ohio,45118,5138754300,denny@kileymold.com
Hope Mills Mini Storage,5607 Camden Rd,Fayetteville,North Carolina,28306-7207,9104262233,
International Self Storage,803 South Eastern Boulevard,Fayetteville,North Carolina,28301-6386,9104852428,
Storage King USA,5799 Pepperbush Drive,Fayetteville,North Carolina,28304-4825,9104268600,corporate@expressmoneyservice.com
Storage King USA,3216 Midpine Rd.,Fayetteville,North Carolina,28306,9103210430,Midpine@storagekingusa.com
"Stuff Ur Storage
Gold Member","651 Eastgate Rd, NV 89011",Henderson,Nevada,89011,17027664434,
Personal Storage LLC,2756 N. Green Valley Pkwy # 423,Henderson,Nevada,89014-2120,7024565005,p.king@cox.net
Storage West Self Storage,990 S. Boulder Highway,Henderson,Nevada,89015,7024536600,
Livingston Self Storage,2370 Walnut Ave,Livingston,California,95334-1848,2093946158,robert@jfcinc.com
Livingston Self Storage LLC,5237 US Highway 89 South,Livingston,Montana,59047-9176,4062227394,storage@ycsi.net
American Self Storage,118 Oak Carriage Road,Lewisburg,West Virginia,24901,3046459010,info@selfstorage-lewisburgwv.com
Greeneville Self Storage LLC,1418 W Main St,Greeneville,Tennessee,37743,4236361112,
Bateman Field Mini Storage,169 Railroad Street,Gray,Georgia,31032-5859,4789862540,katmax27@aol.com
Hall's Self Storage,P O Box 413,Gray,Maine,04039,2076573311,hallsselfstorage@maine.rr.com
SMD Self Storage,315 Pecan Ln,Gray,Georgia,31032,4789865602,scott.smdprop@yahoo.com
"Storage Star Austin Lake Travis
Gold Member","9311 N FM 620, TX 78726",Austin,Texas,78726,15129371008,
"Storage Star Ben White
Gold Member","405 E Ben White Blvd, TX 78704",Austin,Texas,78704,12542310507,
"Storage Star Domain
Gold Member","Waters Park Rd, TX 78758",Austin,Texas,78758,,
"Storage Star Mopac
Gold Member","12900 N Mopac Expy, TX 78727",Austin,Texas,78727,15122441011,
"Storage Star Pond Springs
Gold Member","13444 Pond Springs Rd, TX 78729",Austin,Texas,78729,12542070623,
AC Quick and Safe Self Storage,"2110-B Boca Raton Drive, Suite 102",Austin,Texas,78747,5122826060,mitchell@kaloltd.com
Parkway PS Ltd dba Wells Branch Self Storage,1763 Wells Branch Pkwy.,Austin,Texas,78728-7010,5122519600,info@wellsbranchstorage.com
Cedar Bayou Self-Storage,1800 Cedar Bayou Rd,Baytown,Texas,77520-2904,2813031338,sddupont@cebridge.net
Adams Mini Storage,650 IH-10 South,Beaumont,Texas,77707-4007,4098404880,bruce@adamsselfstorage.com
Beaumont Self Storage,190 East First St.,Beaumont,California,92223,9517697700,beaumontselfstorage@msn.com
Guardian Self Storage,1315 East 6th Street,Beaumont,California,92223-2503,9518452929,
Yankee Mini Storage -G and J Development,1020 Western Knolls Ave,Beaumont,California,92223,9517698900,yankeestorage@myway.com
Sawco Self Storage,15111 Carrollton Boulevard,Carrollton,Virginia,23314-3431,7572389861,
Metro Mini Storage,27236 US 290,Cypress,Texas,77433,2813734994,craydrake@aol.com
AAA Self Storage,5400 Hurd Place,El Paso,Texas,79912-5679,9155858800,ssaaa@sbcglobal.net
Aurora Storage,1708 North Fork Road,Fort Worth,Texas,76179,8172361522,aurora.storage07@sbcglobal.net
Storage Direct Galveston,2125 Church Street,Galveston,Texas,77550,4097669911,galveston@platinumstorage.com
Private Mini Storage,10575 Westoffice Drive,Houston,Texas,77042-5310,7134646944,dlm@private-mini.com
AA Storage Inc,Po. Box 272,Hurst,Texas,76053,5053787030,shirleyjackson635@hotmail.com
"Storage Star Laredo
Gold Member","2110 Quail Creek Rd, TX 78045",Laredo,Texas,78045,19569482256,
McGee Lane Self Storage,1850 McGee Lane,Lewisville,Texas,75077,9723173112,cs.mcgee@verizon.net
Livingston Self Storage,2370 Walnut Ave,Livingston,California,95334-1848,2093946158,robert@jfcinc.com
Livingston Self Storage LLC,5237 US Highway 89 South,Livingston,Montana,59047-9176,4062227394,storage@ycsi.net
Ark Road Self Storage,108 Ark Rd.,Lumberton,New Jersey,08048,6099535500,manager@arkroadstorage.com
Another Closet Self Storage,2101 Industrial Dr.,McAllen,Texas,78504,9566680900,anothercloset@aol.com
Advantage Self Storage Inc,"2600 Eldorado Parkway, Suite 110",McKinney,Texas,75070,9725470236,rjones@advantagestorege.net
Advent Development Comp dba Advanced Self Storage,6010 Monticello Drive,Montgomery,Alabama,36117,3342791234,advanced6010@charterinternet.com
Maxwell Mini Storage,312 Air Base Blvd,Montgomery,Alabama,36108,,contact@maxwellmini.com
Montgomery Self Storage,9 Factory Street,Montgomery,New York,12549-1260,8454576229,johnjobrien1@aol.com
"Storage Star Red Bluff
Gold Member","10800 Red Bluff Rd, TX 77507",Pasadena,Texas,77507,18323231052,
Edwards Mini Storage,2181 E. Foothill Blvd. Suite 105,Pasadena,California,91101,6267933208,krueger565@yahoo.com
Everest Self Storage,"199 S. Los Robles Ave., Suite 200",Pasadena,California,91101,6265855920,terry@everestworld.com
ezStorage,8195 Jumpers Hole Rd.(@Rt. 2),Pasadena,Maryland,21122,4107608030,store@ezstorage.com
"Storage Star
Gold Member","1960 Alma Dr, TX 75075",Plano,Texas,75075,14693403927,
Plano Security Self Storage LLC,6500 W. Plano Parkway,Plano,Texas,75093,9726080996,
Store More on Rt 34,3980 Turner Ave.,Plano,ILLINOIS,60545,6308423387,kdigate@aol.com
Valley Self Storage Units,3709 Shenandoah Avenue Northwest,Roanoke,Virginia,24017-6513,5403434343,
"Storage Star DeZavala
Gold Member","6450 De Zavala Rd, TX 78249",San Antonio,Texas,78249,12109512060,
"Storage Star Huebner
Gold Member","16523 Huebner Rd, TX 78248",San Antonio,Texas,78248,12102360394,
281 Mini Storage Center,"150 N. Loop 1604 East, Suite 202",San Antonio,Texas,78232,2103086288,rallen@askdag.com
Crystal Clean Self-Storage,8708 Marbach Rd,San Antonio,Texas,78227,2106757777,dwlttu@sbcglobal.net
Evans Road Great Space Mini Storage,12040 Colwick,San Antonio,Texas,78216,2109790800,don@kuyrkendall.com
Patriot Self Storage,9403 Marbach Rd,San Antonio,Texas,78245,2106450325,alowry1@stx.rr.com
Pioneer RV and Boat Storage,11509 Fm 1957,San Antonio,Texas,77042-5310,2106798500,pioneerhomes@satx.rr.com
San Ann Self Storage,31904 State Road 52,San Antonio,Florida,33576-0128,3525884002,
CubeSmart,946 East Rancheros Drive,San Marcos,California,92069,7607410525,STORE0227@CUBESMART.COM
Storage West Self Storage,235 East Carmel St.,San Marcos,California,92078,7607444510,
Sensible Self Storage LLC,PO Box 563,Seabrook,New Hampshire,03874,6035226006,Sales@SensibleSelfStorage.com
"Storage Star Tomball
Gold Member","11133 Spring Cypress Rd, TX 77377",Tomball,Texas,77377,18326986100,
Climate Controlled Self Storage Inc,206 North Avenue,Webster,New York,14580,5855456162,info@climatecontrolledselfstorage.com
Action Storage Rentals,2125 Saratoga Boulevard,Corpus Christi,Texas,78417-3406,3618552513,actionstoragerve@aol.com
Americas Storage Center Inc,4011 N. Midland Drive,Midland,Texas,79701,4325206400,
Mom's Storage Units,635 Isabella Street,Midland,Michigan,48640,9898357430,tjohn2207@aol.com
Able Storage,17215 Pearland Sites Road,Pearland,Texas,77584,2814892919,cbellomy@bellomyco.com
B and R Mini Storage,615 7th Ave,Longview,Washington,98632-1691,3605771110,
Longview Self Storage LLC,4420 Ocean Beach Hwy,Longview,Washington,98632-5039,3605774420,4bohmes@adelphia.net
AAA Water Tower,945 W New Hope Dr.,Cedar Park,Texas,78613,5122600090,watertower@storagedirect.com
DeSoto Self Storage,8660 Timber Trails Drive,DeSoto,Kansas,66018,9134817246,mike@desotoselfstorage.com
Texarkana National Storage,2801 Richmond Road,Texarkana,Texas,75503-2123,9032233939,138king@msn.com
Rockwall Mini Storage,1800 E I30,Rockwall,Texas,75087,9727710138,
All-Star Self Storage Ltd,9605 Avenue P,Lubbock,Texas,79423-3270,8067452497,daler@x-pressrentacar.com
Storage At Your Door,4401 Barnett Road,Wichita Falls,Texas,76310-2306,9406967020,quality@AlbertMoving.com
Guardian Storage,5136 E University Blvd,Odessa,Texas,79762-8110,4325503344,larryglee@leecoproperties.com
Castle Hill Self Storage,5103 E. Airline Road,Victoria,Texas,77904-3776,3615760276,mloeb@loebgroup.com
Strongroom Caravan Storage,2 Danjul Close,Kilsyth,Victoria,3137,610425730173,strongroomcaravanstorage@sparkmail.co
Premier Storage Inc,2055 Members Drive,Huntsville,Alabama,35802,2568812022,info@premierstoragehsv.com
Cricket's Mini Storage LLC,5716 W Highway 90,del Rio,Texas,78840,8317755962,
Yellow Jacket State Storage,1567 E Henderson St,Cleburne,Texas,76031,8175177801,yellowjacketstatestorage@outlook.com
Leave and Lock Mini-Storage Co,PO Box 426,Weatherford,Texas,76086-0426,8175944421,jkirkpatrick@stewart.com
Gratiot Storage LLC,4886 Gratiot Road,Saginaw,Michigan,48638,9897939999,ngibbons@howard-steel.com
A-1 Storage,1120 N Lemon St,Orange,California,92867-4709,7145161939,
A-Affordable Storage LLC dba Chapman Self Stg,1107 W.Chapman Ave. Ste.C,Orange,California,92868,7142881191,deannp@amicorporate.com
Chapman Heights Self Storage,623 W Collins Ave,Orange,California,92867,8008872926,jeff@rchobbsco.com
Storage West Self Storage,681 S. Tustin St. #301,Orange,California,92866,7146335496,
Public Storage,13601 Hull Street Road,Midlothian,Virginia,23112,,
Security Self Storage,1220 Davis Road,Elgin,Illinois,60123-1318,8476957933,sss1228davis@sbcglobal.net
Academy Storage LLC,1550 Academy Rd.,Santa Fe,New Mexico,87507,5054383115,academyss@aol.com
Wagon Self Storage,4684 Wagon Rd,Santa Fe,New Mexico,87507,5054716900,steve.reid@comcast.net
Freeport Self Storage,73 E Merrick Rd,Freeport,New York,11520-4030,5163781200,pkampa@optonline.net
Salado Eagle Storage,11315 Blackberry Rd,Salado,Texas,76571,2543281234,
"StoragePRO Self Storage of Richmond
Gold Member","101 W Cutting Blvd, CA 94804",Richmond,California,94804,15103795972,
Econo Self Storage Inc,Po. Box 9405,Richmond,Virginia,23228,8043534040,ftmjr@erols.com
Extra Attic Mini Storage,10551 Patterson Avenue,Richmond,Virginia,23238,8047415353,extraatticpatterson@verizon.net
Lok-Tite Self Storage,1609 Fm 359 Road,Richmond,Texas,77469-1258,2813440008,
Main Street Storage,455 E. Main St.,Richmond,Kentucky,40475,8596260021,mainstreetstorage@gmail.com
Parham Road Self Storage LLC,2701 E. Parham Road,Richmond,Virginia,23228,,rhy3@youngblood-tyler.com
Public Storage,30 Brodie Dr,Richmond,Ontario,L4B3M2,9055088485,
Smartbox Portable Self Storage LLC,2100 Dabney Road,Richmond,Virginia,23230,8042820560,richmond@smartboxusa.com
West End SeIf Storage,9120 W Broad St,Richmond,Virginia,23294-5805,8049670771,westendselfstora@aol.com
North Star Self Storage,10460 FM 740,Forney,Texas,75126,9725641088,NorthStarStorage@aol.com
43rd Street Self Storage,9417 NW 43rd Street,Gainesville,Florida,32653-7887,3523774321,
A Storage Center,6800 W. University Ave.,Gainesville,Florida,32607,3523320003,information@astoragecenter.com
Access Self Storage LLC,2160 NW 67th Place,Gainesville,Florida,32653,3523370602,amyweber@scherenfl.com
ezStorage,14220 Lee Highway (Rt. 29),Gainesville,Virginia,20155,7037543401,store@ezstorage.com
NW Mini-Storage and Warehouse,3500 NW 97th Blvd # A,Gainesville,Florida,32606,3523328917,
Self Storage Management of North Florida Inc,6505 SW Archer Road,Gainesville,Florida,32608,3523714296,archerinfo@gainesvilleselfstorage.com
Blue Star Storage,"300 W. Broadway, Bldg 2 P.O. Box 65",Prosper,Texas,75078,9723463633,rselliott@bluestarstorage.com
CubeSmart,3101 Valley Avenue,Pleasanton,California,94566,9252490004,STORE0759@CUBESMART.COM
Lock It Up Self Storage,7315 Johnson Drive,Pleasanton,California,94588,9254630777,cat@lockitupstorage.com
Americas Budget Storage,40671 Joy Rd,Canton,Michigan,48187-4021,7344596444,
Madison County Self Storage,122 Yandell Road,Canton,Mississippi,39046-9259,6018539930,
Ozborn Self Storage,207 North Hargon Street,Canton,Mississippi,39046-3915,6018593433,mozborn@bellsouth.net
Stone Self Storage LLC,PO Box 282,Canton,Mississippi,39046,6015281615,spsv@suscom.net
CubeSmart,8716 Jefferson Davis Highway,Fredericksburg,Virginia,22407,5408916500,STORE0296@CUBESMART.COM
CubeSmart,20 Plantation Drive Suite 151,Fredericksburg,Virginia,22406,5403711266,STORE0297@CUBESMART.COM
Lock-lt-Up Self Storage,370 White Oak Road,Fredericksburg,Virginia,22405-5726,5408998888,
Derrel's Mini Storage Inc,3265 W. Ashlan Ave.,Fresno,California,93722-4402,5592249900,
Heritage Storage Facilities-Ashlan LLC,4485 W Ashlan Avenue,Fresno,California,93722,5594853686,info@heritagestorage.com
Florida Space Center,1830 Hypoluxo Rd,Lake Worth,Florida,33462,5615881000,FloridaSpace@mindspring.com
Public Storage,6664 Hypoluxo Rd.,Lake Worth,Florida,33467,,
Security Self Storage,8135 Lake Worth Road,Lake Worth,Florida,33467,5612078395,elena@securityselfstoragefl.com
"Stuff Ur Storage
Gold Member","651 Eastgate Rd, NV 89011",Henderson,Nevada,89011,17027664434,
Personal Storage LLC,2756 N. Green Valley Pkwy # 423,Henderson,Nevada,89014-2120,7024565005,p.king@cox.net
Storage West Self Storage,990 S. Boulder Highway,Henderson,Nevada,89015,7024536600,
2147 Storage,911 2nd Street,Marble Falls,Texas,78654-5711,8306937866,tina@sweetbabybirds.com
A Storage Place Ltd,496 Hwy 67 South,Decatur,Alabama,35603,2563557693,suzanne@housinginvestors.com
A Storage Place Ltd,496 Hwy 67 South,Decatur,Alabama,35603,2563557693,suzanne@housinginvestors.com
Northwest Mini Storage,2330 Rt. 121 N.W.,Decatur,Illinois,62526,2178753200,dllogan@nw-ministorage.com
Public Storage,1504 Austin Dr.,Decatur,Georgia,30032,,
Highlands Storage Village LLC,2128 Cashiers Road,Highlands,North Carolina,28775,8285264555,bucky@highlandsstoragevillage.com
Adams Cherokee Storage,1300 E. Pine St.,Jacksonville,Texas,75766-5414,9035862681,adamstorage@tyler.net
CubeSmart,8585 Touchton Road,Jacksonville,Florida,32216,9046209799,STORE0708@CUBESMART.COM
CubeSmart,11570 Beach Boulevard,Jacksonville,Florida,32246,9042324404,STORE0709@CUBESMART.COM
CubeSmart,8121 Point Meadows Drive,Jacksonville,Florida,32256,9045195570,STORE0710@CUBESMART.COM
CubeSmart,3024 Plummer Cove Road,Jacksonville,Florida,32223,9042889886,STORE0723@CUBESMART.COM
CubeSmart,645 Park Street,Jacksonville,Florida,32204,9043537778,STORE0724@CUBESMART.COM
Public Storage,4390 Hypoluxo Rd,Lantana,Florida,33462,,
All American Storage Systems LLC,Fax Line,Jasper,Georgia,30143,7062531332,allamerican@ellijay.com
Sky Mountain Storage,4 South 2600 West #4A,Hurricane,Utah,84737,4356350366,ballardrealty@infowest.com
Lock It Up Self Storage Centers,895 Wall Ave.,Ogden,Utah,84404,8013938000,info@lockitup.com
The Parkway Storage Center,1042 S. Geneva Road,Orem,Utah,84058-5807,8013738103,kentcurtis@mac.com
"Storage Star Park City
Gold Member","6344 N Promontory Ranch Rd, UT 84098",Park City,Utah,84098,13854325487,
Economy Mini Storage,300 Old Skokie Road,Park City,Illinois,60085-4701,8476624866,matt@marlingmanagement.com
Store in a Wink,4825 N. Hydraulic,Park City,Kansas,67219,3162609465,st0reinawinkKS@yahoo.com
"Storage Star Roy
Gold Member","3562 W 4800 S, UT 84067",Roy,Utah,84067,13853930412,
Storage Plus,4018 South 300 West,Salt Lake City,Utah,84107,8015904439,spcorp@hotmail.com
Stor-n-Lock Self Storage,1060 North 300 West,Salt Lake City,Utah,84103,8013597200,bigal@stor-n-Iock.com
Sugarhouse Self Storage,1260 Elgin Ave,Salt Lake City,Utah,84106-3038,8014630500,jproctor5333@msn.com
Towne Storage,510 W 100 South,Salt Lake City,Utah,84101,8019316079,burkeb@townestorage.com
E-Z Self Storage,13053 S. Minuteman Drive,Draper,Utah,84020,8015239230,info@draperselfstorage.com
AAA Self Storage,1618 E. Park Avenue,Riverton,Wyoming,82501-3858,3078563913,jpepper@wyoming.com
Blue Ribbon Storage,502 West 700 South,Pleasant Grove,Utah,84062,8017851243,joe@blueribbonstorage.com
Watch Dog Self Storage LLC,111 W 1060 N,Springville,Utah,84663,8014891077,michaeldparry@yahoo.com
"Storage Star Grantsville
Gold Member","651 W Main St, UT 84029",Grantsville,Utah,84029,14242287674,
"ABC Self Storage
Gold Member","511 Pine Ave, WA 98290",Snohomish,Washington,98290,13607460902,
"Arm Guard Self Storage
Gold Member","6805 112th St E, WA 98373",Puyallup,Washington,98373,12532487821,
"Auburn Way Self Storage
Gold Member","4425 Auburn Way N, WA 98002",Auburn,Washington,98002,12532718867,
"A-Z Storage
Gold Member","1320 E St, WA 98230",Blaine,Washington,98230,13609191003,
"Bainbridge North Storage
Gold Member","12715 Miller Rd NE, WA 98110",Bainbridge Island,Washington,98110,12067439479,
"Bainbridge Self Storage
Gold Member","9300 Sportsman Club Rd NE #2, WA 98110",Bainbridge Island,Washington,98110,12068767080,
"Barker Self Storage
Gold Member","4303 N Barker Rd, WA 99027",Valley,Washington,99027,18884561122,
"Barker Storage
Gold Member","4303 N Barker Rd, WA 99027",Spokane Valley,Washington,99027,18884561122,
"Bel-Red Storage
Gold Member","1405 130th Ave N.E., WA 98005",Bellevue,Washington,98005,4252233875,
"Cascade Heated Self Storage
Gold Member",1080 SE N Bend Way,North Bend,Washington,98045,14253210902,
"Chateau Storage and Business Park
Gold Member","28610 Maple Valley Black Diamond Rd SE, WA 98038",Maple Valley,Washington,98038,4253108259,
"Clock Tower Self Storage - Lake Stevens
Gold Member","9100 WA-92 #8014, WA 98258",Lake Stevens,Washington,98258,14253668674,
"Clock Tower Self Storage - Marysville
Gold Member","8119 State Ave, WA 98270",Marysville,Washington,98270,15098226251,
"Corners Self Storage
Gold Member","24215 SE 271st Pl, WA 98038",Maple Valley,Washington,98038,14253741302,
"Discovery Park Heated Storage
Gold Member","1470 King St, WA 98229",Bellingham,Washington,98229,13605232592,
"Storage Star Hooper
Gold Member","5215 W 4000 S, UT 84315",Hooper,Utah,84315,18017328444,
Security Self Storage,228 S Main St,Rutland,Vermont,05701-4868,8027752960,dvnels2@aol.com
American Self Storage,3937 Wheeler Ave,Alexandria,Virginia,22309,7033705507,kduggin@americanstorage.com
CubeSmart,4650 Eisenhower Avenue,Alexandria,Virginia,22304,7037518100,STORE0591@CUBESMART.COM
Macarthur Drive Self Storage,727 Macarthur Drive,Alexandria,Louisiana,71303-3115,3184420206,
Public Storage,6325 Stone Rd.,Centreville,Virginia,20121,,
ezStorage,3700 Centreville Road,Chantilly,Virginia,20151,7034357623,store@ezstorage.com
Community Self Storage,1525 Putt Putt Lane,Charlottesville,Virginia,22901-1473,4349735123,
Christiansburg,390 Bell Road,Christiansburg,Virginia,24073,5403825394,info@commonwealth-ss.com
ezStorage,3340 Elm Farm Road,Dale City,Virginia,22192,7035801167,store@ezstorage.com
Fairfax City Self Storage,3980 Pickett Road,Fairfax,Virginia,22031,7039781200,bjennings@fairfaxcityselfstorage.com
Public Storage,11199 Waples Mill Rd.,Fairfax,Virginia,22030,,
CubeSmart,8716 Jefferson Davis Highway,Fredericksburg,Virginia,22407,5408916500,STORE0296@CUBESMART.COM
CubeSmart,20 Plantation Drive Suite 151,Fredericksburg,Virginia,22406,5403711266,STORE0297@CUBESMART.COM
Lock-lt-Up Self Storage,370 White Oak Road,Fredericksburg,Virginia,22405-5726,5408998888,
43rd Street Self Storage,9417 NW 43rd Street,Gainesville,Florida,32653-7887,3523774321,
A Storage Center,6800 W. University Ave.,Gainesville,Florida,32607,3523320003,information@astoragecenter.com
Access Self Storage LLC,2160 NW 67th Place,Gainesville,Florida,32653,3523370602,amyweber@scherenfl.com
ezStorage,14220 Lee Highway (Rt. 29),Gainesville,Virginia,20155,7037543401,store@ezstorage.com
NW Mini-Storage and Warehouse,3500 NW 97th Blvd # A,Gainesville,Florida,32606,3523328917,
